ticker,setup_state,score,last_close,resistance,breakout_pct,breakout_days_ago,pivot_touch_count,resistance_flatness_pct,low_slope_pct_per_day,swing_low_count,ascending_triangle,bb_width_pctile,min_bb_width_pctile_20d,squeeze_recent,breakout_volume_ratio,volume_confirmed,last_complete_week_return_pct,close_vs_52w_high_pct,above_sma50,above_sma200,avg_dollar_volume_20d_m,notes
RSP,fresh_breakout,100.0,213.5,203.58,4.87,9.0,5,2.74,0.0448,5,True,63.1,18.7,True,1.41,True,2.19,-1.33,True,True,2233.76,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout volume expansion; near/new 52-week high; healthy last complete week momentum
IAT,fresh_breakout,99.0,62.8,58.78,6.84,9.0,5,2.45,0.1233,5,True,51.6,44.4,False,1.33,True,0.58,-1.75,True,True,12.48,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; fresh breakout; breakout volume expansion; near/new 52-week high
EFA,fresh_breakout,98.0,103.92,103.55,0.36,4.0,6,3.44,0.0142,7,True,31.0,30.6,True,0.87,False,1.78,-1.52,True,True,1467.62,6 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; fresh breakout; breakout lacks volume confirmation; near/new 52-week high; healthy last complete week momentum
EWC,testing_resistance,98.0,58.38,58.5,-0.21,,7,4.2,0.0527,7,True,18.7,13.5,True,,False,-0.05,-1.57,True,True,99.88,7 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; testing resistance before breakout; near/new 52-week high
DGRO,fresh_breakout,95.0,76.92,73.39,4.8,9.0,5,3.67,0.0373,6,True,75.0,4.4,True,0.85,False,1.93,-1.45,True,True,125.22,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; near/new 52-week high; healthy last complete week momentum
EWI,fresh_breakout,95.0,60.28,58.03,3.89,9.0,5,3.6,0.0892,7,True,43.7,6.0,True,0.4,False,3.41,-1.47,True,True,30.24,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; near/new 52-week high; healthy last complete week momentum
DGRW,fresh_breakout,93.0,96.47,93.14,3.57,9.0,5,4.26,0.0247,6,True,31.3,25.8,True,1.27,False,1.26,-1.4,True,True,63.6,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; fresh breakout; breakout lacks volume confirmation; near/new 52-week high
VIG,fresh_breakout,91.0,238.62,229.82,3.83,9.0,4,3.07,0.1294,3,True,62.3,2.0,True,0.82,False,1.73,-0.61,True,True,298.25,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; near/new 52-week high; healthy last complete week momentum
DIA,fresh_breakout,88.0,524.19,495.3,5.83,9.0,5,1.86,0.0239,6,True,72.6,46.8,False,1.08,False,1.96,-1.57,True,True,2577.43,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; fresh breakout; breakout lacks volume confirmation; near/new 52-week high; healthy last complete week momentum
EWL,fresh_breakout,88.0,62.97,61.67,2.11,9.0,5,4.3,0.0172,4,True,53.6,26.6,True,0.73,False,2.53,-2.21,True,True,26.83,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; healthy last complete week momentum
EWU,testing_resistance,88.0,46.41,47.02,-1.29,,5,3.23,0.0347,5,True,50.4,6.7,True,,False,3.06,-3.77,True,True,72.01,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; testing resistance before breakout; healthy last complete week momentum
QUAL,fresh_breakout,87.0,218.5,204.68,6.75,9.0,3,0.26,0.0439,4,True,59.1,22.2,True,0.84,False,2.23,-0.79,True,True,315.81,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; near/new 52-week high; healthy last complete week momentum
MDY,fresh_breakout,87.0,690.22,686.06,0.61,9.0,4,4.12,0.0615,3,True,25.0,25.0,True,1.19,False,-0.23,-2.02,True,True,597.78,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation
IYT,fresh_breakout,86.0,88.18,82.42,6.98,9.0,4,1.16,0.0642,5,True,53.2,23.8,True,0.99,False,0.93,-0.63,True,True,73.52,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; near/new 52-week high
SCHD,fresh_breakout,86.0,32.26,31.4,2.75,9.0,4,3.67,0.0701,5,True,42.1,13.1,True,0.82,False,0.93,-1.41,True,True,678.52,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; near/new 52-week high
XAR,below_resistance,84.0,273.89,290.55,-5.73,,5,4.57,0.0159,5,True,23.0,13.5,True,,False,4.91,-7.22,True,True,60.56,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; healthy last complete week momentum
VTV,fresh_breakout,83.0,218.56,205.64,6.28,9.0,5,3.02,0.0996,5,True,46.8,46.8,False,1.25,False,0.36,-1.14,True,True,678.46,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; fresh breakout; breakout lacks volume confirmation; near/new 52-week high
