ticker,setup_state,score,last_close,resistance,breakout_pct,breakout_days_ago,pivot_touch_count,resistance_flatness_pct,low_slope_pct_per_day,swing_low_count,ascending_triangle,bb_width_pctile,min_bb_width_pctile_20d,squeeze_recent,breakout_volume_ratio,volume_confirmed,last_complete_week_return_pct,close_vs_52w_high_pct,above_sma50,above_sma200,avg_dollar_volume_20d_m,notes
VLO,fresh_breakout,91.0,281.25,262.5,7.14,7.0,4,4.31,0.2177,3,True,88.9,15.9,True,0.96,False,3.23,-1.07,True,True,851.69,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; near/new 52-week high; healthy last complete week momentum
AFL,fresh_breakout,82.0,121.99,118.83,2.66,8.0,3,0.94,0.0442,5,True,57.5,27.4,True,1.35,False,0.61,-0.66,True,True,312.17,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; near/new 52-week high
ET,fresh_breakout,79.0,19.79,19.11,3.58,4.0,4,3.24,0.0745,5,True,65.1,17.9,True,0.73,False,0.83,-4.4,True,True,161.88,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation
ETN,fresh_breakout,72.0,405.83,388.06,4.58,9.0,4,3.95,0.078,12,True,51.6,41.3,False,0.71,False,-1.03,-7.08,True,True,1022.02,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; fresh breakout; breakout lacks volume confirmation
URI,extended_breakout,70.0,1088.67,974.27,11.74,9.0,5,4.31,0.1037,12,True,21.4,19.0,True,1.37,False,-2.06,-4.81,True,True,551.53,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; breakout already extended
MPC,extended_breakout,70.0,283.3,260.62,8.7,5.0,3,3.58,0.3454,3,True,69.8,17.5,True,0.78,False,4.84,-0.13,True,True,629.09,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; breakout already extended; near/new 52-week high; healthy last complete week momentum
AAPL,extended_breakout,69.0,316.22,278.48,13.55,8.0,4,1.38,0.0255,9,True,83.3,40.1,False,5.14,True,8.76,-0.37,True,True,19231.33,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; breakout already extended; near/new 52-week high; very strong but possibly extended weekly momentum
OKE,near_resistance,69.0,89.5,92.14,-2.87,,3,2.97,0.0931,3,True,38.9,24.6,True,,False,-1.56,-6.84,True,True,349.08,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; near resistance
ROKU,extended_breakout,68.0,140.26,116.33,20.57,9.0,3,2.66,0.1113,11,True,61.9,18.3,True,1.67,True,5.19,-5.79,True,True,1153.66,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; breakout already extended; healthy last complete week momentum
SBUX,fresh_breakout,68.0,106.41,99.97,6.45,9.0,5,5.5,0.1074,12,False,16.7,16.7,True,0.9,False,-0.32,-1.7,True,True,794.13,5 separated pivot resistance touches; messy resistance; rising swing lows; ascending triangle not fully confirmed; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; near/new 52-week high
GILD,testing_resistance,68.0,134.84,136.45,-1.18,,2,0.22,0.0673,12,False,86.5,6.3,True,,False,2.65,-13.22,True,True,1122.73,only 2 pivot resistance touch(es); flat pivot resistance; rising swing lows; ascending triangle not fully confirmed; recent volatility compression; testing resistance before breakout; healthy last complete week momentum
ELV,extended_breakout,67.0,420.39,359.56,16.92,9.0,2,0.14,0.0381,10,False,33.7,15.1,True,1.01,False,5.75,-1.7,True,True,690.07,only 2 pivot resistance touch(es); flat pivot resistance; rising swing lows; ascending triangle not fully confirmed; current volatility compression; breakout already extended; near/new 52-week high; healthy last complete week momentum
C,extended_breakout,66.0,139.57,122.94,13.52,9.0,3,2.39,0.0567,8,True,27.0,27.0,True,1.02,False,-1.26,-5.67,True,True,1963.26,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; breakout already extended
ALL,extended_breakout,65.0,248.64,215.39,15.43,9.0,4,2.58,0.0478,7,True,99.2,63.9,False,0.92,False,4.47,-3.5,True,True,455.77,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; breakout already extended; healthy last complete week momentum
EG,fresh_breakout,65.0,371.0,353.15,5.06,8.0,5,3.01,0.0074,12,False,94.0,72.2,False,1.55,True,4.45,-2.17,True,True,158.39,5 separated pivot resistance touches; flat pivot resistance; slightly rising lows; ascending triangle not fully confirmed; fresh breakout; breakout volume expansion; healthy last complete week momentum
VRTX,fresh_breakout,65.0,496.5,485.0,2.37,8.0,5,3.72,0.0013,12,False,92.5,12.7,True,6.74,True,7.47,-6.96,True,True,993.07,5 separated pivot resistance touches; flat pivot resistance; slightly rising lows; ascending triangle not fully confirmed; recent volatility compression; fresh breakout; breakout volume expansion; healthy last complete week momentum
ITW,fresh_breakout,65.0,265.48,262.06,1.31,9.0,5,1.56,0.0018,12,False,72.2,9.5,True,1.19,False,2.5,-11.34,True,True,386.28,5 separated pivot resistance touches; flat pivot resistance; slightly rising lows; ascending triangle not fully confirmed; recent volatility compression; fresh breakout; breakout lacks volume confirmation; healthy last complete week momentum
TECK,near_resistance,64.0,59.23,60.56,-2.19,3.0,3,2.8,0.289,6,True,65.1,31.3,True,0.74,False,3.07,-16.76,False,True,183.23,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; near resistance; below SMA50; healthy last complete week momentum
CAT,testing_resistance,64.0,938.39,939.09,-0.07,9.0,2,1.65,0.0506,3,False,84.5,23.4,True,1.67,True,-3.4,-12.58,True,True,3919.07,only 2 pivot resistance touch(es); flat pivot resistance; rising swing lows; ascending triangle not fully confirmed; recent volatility compression; testing resistance before breakout
SNDK,testing_resistance,64.0,1858.27,1861.0,-0.15,9.0,1,0.0,0.8504,12,False,40.9,31.7,True,1.12,False,-16.54,-21.07,True,True,23718.88,only 1 pivot resistance touch(es); flat pivot resistance; rising swing lows; ascending triangle not fully confirmed; recent volatility compression; testing resistance before breakout
ABBV,fresh_breakout,62.0,249.91,233.26,7.14,9.0,7,4.66,-0.0389,12,False,99.2,50.8,False,1.65,True,3.05,-4.48,True,True,2285.36,7 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; fresh breakout; breakout volume expansion; healthy last complete week momentum
CB,fresh_breakout,62.0,347.8,333.44,4.31,8.0,6,0.77,-0.0306,6,False,96.0,70.2,False,2.01,True,5.78,-4.79,True,True,571.0,6 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; fresh breakout; breakout volume expansion; healthy last complete week momentum
