ticker,setup_state,score,last_close,resistance,breakout_pct,breakout_days_ago,pivot_touch_count,resistance_flatness_pct,low_slope_pct_per_day,swing_low_count,ascending_triangle,bb_width_pctile,min_bb_width_pctile_20d,squeeze_recent,breakout_volume_ratio,volume_confirmed,last_complete_week_return_pct,close_vs_52w_high_pct,above_sma50,above_sma200,avg_dollar_volume_20d_m,notes
AFL,fresh_breakout,99.0,127.36,118.08,7.86,9.0,5,4.36,0.0246,10,True,79.4,28.2,True,1.62,True,0.71,-2.2,True,True,231.48,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout volume expansion
TECK,fresh_breakout,89.0,62.49,61.14,2.21,0.0,4,2.77,0.1509,8,True,24.6,16.7,True,1.38,False,9.34,-12.17,True,True,210.03,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; very strong but possibly extended weekly momentum
EMR,fresh_breakout,84.0,148.64,148.38,0.18,3.0,4,2.91,0.0147,12,True,78.6,20.6,True,1.04,False,6.02,-9.29,True,True,359.74,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; healthy last complete week momentum
ET,fresh_breakout,83.0,20.24,19.31,4.82,9.0,5,4.23,0.0471,6,True,57.5,17.9,True,0.95,False,0.2,-2.22,True,True,169.6,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation
FCX,below_resistance,80.0,63.44,69.27,-8.42,,4,3.05,0.0188,8,True,19.0,11.5,True,,False,7.23,-12.02,True,True,935.78,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; healthy last complete week momentum
HEI,testing_resistance,80.0,354.17,354.57,-0.11,3.0,3,2.73,0.0341,7,True,37.3,34.9,True,0.64,False,2.03,-4.14,True,True,152.47,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; testing resistance before breakout; healthy last complete week momentum
EPD,fresh_breakout,79.0,38.12,37.87,0.67,9.0,4,3.33,0.0145,6,True,61.1,34.1,True,1.29,False,1.39,-5.1,True,True,119.18,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation
ITW,fresh_breakout,77.0,283.7,263.06,7.85,9.0,4,1.42,0.018,12,True,84.9,37.7,False,1.35,False,2.52,-6.03,True,True,425.7,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; fresh breakout; breakout lacks volume confirmation; healthy last complete week momentum
PH,below_resistance,76.0,962.79,1026.68,-6.22,,3,2.81,0.0264,6,True,17.9,7.1,True,,False,3.6,-6.76,True,True,526.7,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; healthy last complete week momentum
EG,fresh_breakout,76.0,375.36,358.71,4.64,9.0,5,4.08,0.0159,11,True,58.3,51.6,False,1.16,False,0.67,-6.41,True,True,140.58,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; fresh breakout; breakout lacks volume confirmation
